0	1	2	3	4	5	6
49.0	205.0	0.2	8.0		80.0	7.7
56.0	801.0	7.7	23.0	38.0	88.0	11.1
39.0	1020.0	29.8	16.0	74.0	72.0	11.69999981
53.0	1050.0	31.9	49.0	34.0	90.0	13.0
21.0	438.0	3.1	152.0	30.0	83.0	10.8
59.0	197.0	41.3	155.0	0.0	15.0	8.5
56.0	757.0	6.2	380.0	45.0	80.0	12.7
59.0	490.0	6.6	16.0	10.0	63.0	11.8
56.0	625.0	58.3	35.0	12.0	90.0	9.4
51.0	284.0	12.5	15.0	69.0	75.0	14.7
59.0	406.0	40.6	46.0	58.0	70.0	9.7
55.0	341.0	13.5	43.0	4.0	80.0	9.300000191
48.0	859.0	28.1	50.0	83.0	90.0	8.9
20.0	407.0	6.4	177.0	2.0	75.0	11.0
41.0	1311.0	116.0	48.0	96.0	95.0	11.80000019
52.0	469.0	67.1	89.0	27.0	85.0	8.699999809
52.0	233.0	5.5	81.0	0.0	20.0	6.699999809
59.0	324.0	3.2	74.0	2.0	24.0	10.0
53.0	2579.0	22.7	12.0	54.0	30.0	10.89999962
47.0	772.0	97.7	23.0	30.0		9.4
24.0	580.0	5.4	152.0	18.0	90.0	10.60000038
39.0	809.0	47.3	30.0		67.0	9.3
44.0	624.0	30.7	26.0	90.0	99.0	7.900000095
50.0	163.0	2.4	23.0	40.0	26.0	7.099999905
36.0	2033.0	159.6	32.0	75.0	57.0	9.1
59.0	342.0	4.9	304.0	35.0	75.0	10.9
59.0	195.0	2.2	52.0	2.0	30.0	10.3
37.0	413.0	4.72	226.0			9.850000381
44.0	825.0	41.9	62.0	68.0	70.0	7.7
47.0	199.0	0.7	94.0		85.0	6.2
26.0	479.0	5.7	40.0	74.0	90.0	10.5
45.0	712.0	45.3	122.0	32.0	91.0	12.3
28.0	318.0	5.1	80.0	52.0	90.0	9.0
53.0	828.0	34.7	45.0	35.0	36.0	10.0
27.0	315.0	3.9	18.0	0.0	20.0	6.300000191
61.0	609.0	153.0	38.0		90.0	9.9
56.0	803.0	59.4	76.0	16.0	15.0	7.6
63.0	198.0	2.3	109.0	15.0	66.0	11.0
52.0	341.0	9.2	39.0	73.0	80.0	10.8
48.0	905.0	116.0	15.0	84.0	90.0	10.4
61.0	286.0	0.7	29.0	62.0	97.0	9.300000191
43.0	2580.0	372.0	32.0		90.0	7.900000095
39.0	470.0	4.9	26.0	82.0	80.0	5.4
39.0	1640.0	76.6	106.0	46.0	90.0	9.300000191
57.0		18.7	80.0	77.0	95.0	9.300000191
35.0	400.0	18.04	40.0	76.0	80.0	11.60000038
57.0	256.0	2.6	46.0	0.0	80.0	9.6
50.0	419.0	57.3	130.0	9.0	80.0	8.9
35.0	506.0	22.27	91.0	60.0	60.0	11.30000019
41.0	541.0	5.9	58.0	58.0	52.0	7.3
37.0	249.0	2.9	174.0	9.0	65.0	8.199999809
58.0	740.0	67.0	38.0	90.0	90.0	9.0
41.0	1840.0	3.1	119.0	0.0	85.0	9.1
55.0	351.0	46.7	147.0	1.0	90.0	5.900000095
61.0	1980.0	110.0	29.0	99.0	72.0	8.8
61.0	565.0	38.4	73.0	2.0	38.0	8.5
58.0	503.0	2.4	136.0		90.0	7.300000191
58.0	241.0	7.2	172.0	0.0	75.0	9.4
59.0	220.0	1.4	15.0	11.0	65.0	9.8
46.0	598.0	5.7	39.0	33.0	95.0	6.7
52.0	808.0	5.4	28.0	77.0	90.0	9.0
37.0	673.0	10.9	25.0	47.0	80.0	6.300000191
60.0	398.0	20.0	12.0	50.0	50.0	12.0
24.0	235.0	3.9	216.0	0.0	0.0	11.6
53.0	705.0	2.8	89.0	47.0	80.0	10.5
20.0	281.0	12.5	120.0		60.0	6.5
32.0	581.0	92.8	83.0	90.0	80.0	8.8
57.0	375.0	33.3	36.0		41.0	9.3
53.0	288.0	4.8	83.0	19.0	46.0	8.0
56.0	353.0	22.1	164.0	88.0	95.0	9.5
60.0	1014.0	1.2	10.0	30.0	100.0	9.5
35.0	4566.0	29.2	23.0	82.0	90.0	9.8
20.0	275.0	0.9	39.0	0.0	88.0	6.9
46.0	193.0	3.2	50.0	80.0	90.0	8.100000381
52.0	1491.0	42.0	35.0	73.0	79.0	6.800000191
35.0	319.0	24.8	34.0	97.0		7.5
38.0	1100.0	60.3	41.0	74.0	80.0	10.10000038
55.0	160.0	3.1	121.0	38.0	70.0	9.399999619
58.0	333.0	2.2	67.0	1.0	40.0	8.600000381
52.0	647.0	43.7	69.0	80.0	84.0	8.8
44.0	238.0	2.1	72.0	4.0	86.0	10.5
38.0	369.0	0.5	159.0	36.0	90.0	6.599999905
56.0	884.0	76.9	78.0	62.0	43.0	7.9
63.0	298.0	1.6	35.0	20.0	80.0	10.0
56.0	359.0	3.5	56.0	17.0	20.0	7.3
33.0	234.0	3.0	52.0		40.0	6.8
52.0	246.0	0.8	27.0			7.5
55.0	1267.0	13.1	88.0	13.0	46.0	13.9
33.0	670.0	136.9	42.0	88.0	57.0	11.0
48.0	161.0	5.7	33.0	20.0	22.0	13.19999981
34.0	1011.0	57.1	361.0	60.0	95.0	11.19999981
